Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
C56;C64,22uf,Capacitors_SMD:C_0603,2,yageo,CC0603MRX5R6BB226,-,-
C27;C28;C29;C30;C4,47uf,Capacitors_SMD:C_0603,5,murata,GRM188R60G476ME15D,-,-
C53;C54;C55;C65;C66;C63;C62;C57;C3,100uf,Capacitors_SMD:C_0805,9,AVX,F950J107MPAAQ2,-,-
U7,FT230XQ,Housings_DFN_QFN:QFN-16-1EP_4x4mm_Pitch0.65mm,1,FTDI,FT230XQ,-,-
U2,S25Q,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,1,Cypress,S25FL132K0XNFIQ11,-,-
D2,A,LEDs:LED_0402,1,Panasonic,LNJ247W82RA,-,-
D3,B,LEDs:LED_0402,1,Panasonic,LNJ247W82RA,-,-
D1,BUSY,LEDs:LED_0402,1,Panasonic,LNJ247W82RA,-,-
D4,C,LEDs:LED_0402,1,Panasonic,LNJ247W82RA,-,-
U4,MAX1589AETT100T,MAX1589A:MAX1589AETT100T,1,Maxim,MAX1589AETT100+T,-,-
U5,MIC47050-1.2YML,MIC47050:MIC47050-DFN-6-2MM,1,Microchip,MIC47050-1.2YML-TR,-,-
RN3;RN1,4.7K,Resistors_SMD:R_Array_Convex_4x0402,2,CTS,741X083472JP,-,-
RN2,681,Resistors_SMD:R_Array_Convex_4x0402,1,CTS,741X083681JP,-,-
J2;J6;J5;J1;J4;J3,CONN_COAXIAL,SMT:U.FL-COAX,6,Hirose,U.FL-R-SMT(10),-,-
C59;C72;C70;C71;C73;C67;C68;C69;C51;C10;C14;C13;C9,0.1uf,SMT:c_0201_least,13,yageo,cc0201krx5r5bb104,-,-
C7;C16;C22;C24;C25;C18;C20;C38;C42;C45;C48;C39;C43;C46;C49;C37;C41;C40;C44;C47;C50;C19;C21;C12;C17;C26;C23,0.47uf,SMT:c_0201_least,27,yageo,cc0201krx5r5bb474,-,-
C52;C58;C60;C61,10uf,SMT:c_0402,4,yageo,CC0402MRX5R5BB106,-,-
C2;C15;C8;C6;C31;C34;C35;C32;C36;C33;C1;C5;C11,4.7uf,SMT:c_0402,13,yageo,CC0402MRX5R5BB475,-,-
R1,100,SMT:r_0201_least,1,yageo,RC0201FR-07100RL,-,-
R3;R5,100k,SMT:r_0201_least,2,yageo,RC0201FR-07100KL,-,-
R2,124k,SMT:r_0201_least,1,yageo,RC0201FR-07124KL,-,-
R4,24.9k,SMT:r_0201_least,1,yageo,RC0201FR-0724K9L,-,-
L1,330,SMT:r_0402,1,Taiyo Yuden,BKP1005EM331-T,-,-
P1,CONN_01X06,conn:pico-ezmate-6,1,Molex,78171-5006,-,-
U3;U6,TPS82085SIL,tps82084:TPS82084SILR,2,TI,TPS82085SILT,-,-
U1,XC7A50T-2CSG325C,XC7A50T-CSG325:CSG-324,1,Xilinx,XC7A50T-2CSG325,,
